Самолет плюс Троицк,real_estate_agent,Москва,sale,flat,3,1,39.2,7500000.0,, Генерала Донскова,21к1,Апрелевка,
КРОСТ,developer,Москва,sale,flat,28,1,36.9,18117900.0,Хорошево-Мневники, Генерала Глаголева,,Народное Ополчение,CRYSTAL Трилогия
Msk Estate,real_estate_agent,Москва,sale,flat,22,1,15.8,7890000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Homeapp,real_estate_agent,Москва,sale,flat,33,1,31.7,14600000.0,Очаково-Матвеевское,Очаковское шоссе,5к4,Аминьевская,Матвеевский парк
LEGENDA Intelligent Development,developer,Москва,sale,flat,57,1,43.9,18984116.0,Левобережный,Ленинградское шоссе,,Беломорская,Северный порт. Береговые кварталы
Msk Estate,real_estate_agent,Москва,sale,flat,22,1,19.4,8380000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
ХОРЕКА ИНВЕСТ,real_estate_agent,Москва,sale,flat,4,1,20.0,7700000.0,Даниловский,2-я Рощинская ,10,Тульская,
Основа,developer,Москва,sale,flat,5,1,37.1,17140200.0,Марфино,Ботаническая ,29К1,Владыкино,VERY
One Moscow,real_estate_agent,Москва,sale,flat,34,1,46.4,19990000.0,Обручевский, Архитектора Власова,71к2,Воронцовская,Ever
Homeapp,real_estate_agent,Москва,sale,flat,5,1,32.1,8999000.0,Перово, Металлургов,17,Перово,
РКС Девелопмент,developer,Москва,sale,flat,16,1,39.43,17920935.0,Даниловский,Автозаводская ,24К1,Тульская,Дом на набережной INSIDER
ONE Company,real_estate_agent,Москва,sale,flat,22,1,14.3,8280000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Светлана Биличенко,realtor,Москва,sale,flat,5,1,33.0,9800000.0,Восточное Измайлово,11-я Парковая ,34,Первомайская,
Имена,developer,Москва,sale,flat,14,1,30.45,25364850.0,Дорогомилово,1-й Можайский тупик,8АС1,Киевская,D'ORO MILLE
Whitewill,real_estate_agent,Москва,sale,flat,10,1,45.7,39490000.0,Беговой, 1-я Ямского Поля,1к1,Белорусская,Slava
One Moscow,real_estate_agent,Москва,sale,flat,17,1,34.0,24000000.0,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar
Рублево-Архангельское,developer,Москва,sale,flat,9,1,44.4,21445200.0,,,В14 кв-л,Серебряный Бор,Сберсити ЖК
ГОРОБМЕН,real_estate_agent,Москва,sale,flat,17,1,38.7,13400000.0,Северное Медведково,Полярная ,52К1,Медведково,
Семен Гордый,realtor,Москва,sale,flat,11,1,46.1,8800000.0,, Семена Гордого,12,Крёкшино,Ново-Никольское
Донстрой,developer,Москва,sale,flat,12,1,53.1,96004800.0,Хамовники,531-й кв-л,,Спортивная,Дом 22 ЖК
